ticker,rank,name,sector,ind,country,cur,P,mcap_usd,tracks,trackA_hits,trackB_hits,pe_ttm,pe_ntm,pe1,pe2,pe_norm,eps_norm,fpeg,peg2y,e_norm,rg1,rg2,ev_ebit_ttm,ev_ebit_norm,ev_ebit_hist_med,fcfy_norm,fcfy_ttm_sbc,roic,wacc,ke,rote_n,ptbv,om_ttm,om_avg,m_norm,cyc2,crit,v_bear,v_base,v_bull,v_pw,epv,mos,bear_dd,epv_ratio,growth_share,n_implied,dur_ev,n2,disp,rv1m_f2,rv3m_f2,r3m,r12m,nd_ebitda,sh_g,sbc_rev,A,B,C,D,E,F,G,H,total,grade,lens1,lens2,both,factor,excl,risk,dflag
EPAC,,Enerpac Tool Group Corp.,Industrials,Specialty Industrial Machinery,United States,USD,36.01,1.8561,,vsPeer,,19.2567,17.4806,19.3083,17.4806,18.7367,1.9219,1.6719,2.6158,0.0668,0.0369,0.0491,13.9507,13.9507,16.6902,0.0491,0.0536,0.2149,0.0975,0.1021,,,0.2176,0.1444,0.2176,중반,0,18.6435,25.6964,27.3965,24.3582,19.7548,-0.3236,-0.4823,0.5486,0.189,26.0,5.0,4.0,0.0825,-0.055,-0.055,-0.0209,-0.1042,0.4497,-0.0524,0.0203,0,8,4.0,12,0,7,10,0,41.0,제외,False,False,False,,,,
VRNS,538.0,"Varonis Systems, Inc.",Technology,Software - Infrastructure,United States,USD,48.35,5.5535,B,,"fPEG,Compress",201.4583,142.8432,319.7963,118.4497,,-1.0761,0.8403,2.8236,0.5059,0.1833,0.1863,,,,-0.0237,-0.0026,-0.4556,0.0874,0.0907,,,-0.2199,-0.2348,-0.2274,중반,1,0.0,0.0,0.0,0.0,-10.7257,-1.0,-1.0,-0.2218,,26.0,6.0,24.0,1.433,-0.0111,0.068,0.1998,-0.1879,,0.0247,0.1925,0,8,11.0,4,0,7,8,3,41.0,제외,False,False,False,,,희석/SBC 과다,
ERII,,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,United States,USD,6.8,0.3471,,vsHist,,13.3333,,,,22.8396,0.2977,,,,-0.4607,0.441,14.522,14.3607,35.3644,0.0362,0.0905,0.1715,0.1019,0.1031,,,0.1498,0.1664,0.1515,중반,0,4.3121,5.074,5.1411,4.9003,4.5823,-0.2794,-0.3659,0.6739,0.0649,26.0,4.0,2.0,,-0.3093,-0.3738,-0.229,-0.5561,-3.8872,-0.0555,0.0595,0,12,4.0,9,0,7,9,0,41.0,제외,False,False,False,,가치함정: 컨센서스 급락,매출채권·재고 급증,
RRX,532.0,Regal Rexnord Corporation,Industrials,Specialty Industrial Machinery,United States,USD,152.42,10.1465,B,,"fPEG,CAGR+PE,Rev>Px",14.9725,12.3049,14.3232,11.6917,34.0736,4.4733,0.5467,0.7582,0.1623,0.0448,0.1434,20.3449,20.5145,22.6754,0.033,0.0432,0.0504,0.0868,0.0973,,,0.1174,0.1073,0.1164,중반,1,14.3018,103.721,163.501,96.3112,32.246,-0.3681,-0.9062,0.2116,0.6652,8.0,4.0,11.0,0.1066,-0.0053,-0.0355,-0.3064,0.0591,3.5686,0.006,0.0046,0,12,10.0,3,0,7,6,3,41.0,제외,False,True,False,,,순부채/EBITDA>3x,
NABL,,"N-able, Inc.",Technology,Information Technology Services,United States,USD,4.15,0.784,,vsHist,fPEG,10.9211,9.883,10.6868,9.6138,31.7092,0.1309,0.8855,1.8981,0.0521,0.0575,0.0615,20.5419,16.2299,42.7681,0.0431,0.0216,0.0378,0.0824,0.0926,,,0.1007,0.1567,0.1275,저점,1,0.4973,2.3978,3.1403,2.1083,1.7569,-0.492,-0.8802,0.4233,0.1667,26.0,6.0,6.0,0.139,-0.1007,-0.1007,0.1723,-0.487,3.268,0.0015,0.081,0,8,10.0,4,0,10,6,3,41.0,제외,False,False,False,,,순부채/EBITDA>3x,
SXT,,Sensient Technologies Corporati,Basic Materials,Specialty Chemicals,United States,USD,128.85,5.4842,,,,32.8699,27.1352,30.8103,25.9818,34.7641,3.7064,1.4601,1.4004,0.1938,0.118,0.1316,25.9782,25.9782,20.5789,0.0221,-0.0022,0.0909,0.0848,0.0896,,,0.1405,0.1221,0.1405,중반,1,26.5726,29.1121,38.7204,30.8793,33.0032,-0.7603,-0.7938,0.2561,-0.0688,26.0,6.0,5.0,0.0555,0.0546,0.0463,0.0721,0.3495,2.4395,0.0043,0.0098,0,4,13.0,6,0,7,8,3,41.0,제외,False,False,False,,,,
PATK,,"Patrick Industries, Inc.",Consumer Cyclical,Recreational Vehicles,United States,USD,69.18,2.3503,B,,"fPEG,Rev>Px",16.316,13.7222,16.1749,12.9891,15.6831,4.4111,0.5595,1.4408,0.0952,-0.0185,0.0552,14.965,14.6968,15.0405,0.0526,0.044,0.0736,0.0836,0.0989,,,0.0674,0.082,0.0686,중반,0,11.6672,23.8606,26.5366,21.4813,24.8577,-0.6895,-0.8313,0.3593,-0.1572,26.0,5.0,10.0,0.1051,-0.0068,-0.1052,-0.2743,-0.3322,3.7237,0.0044,0.005,0,12,10.0,3,0,7,6,3,41.0,제외,False,True,False,,가치함정: 컨센서스 급락,순부채/EBITDA>3x,
VPG,525.0,"Vishay Precision Group, Inc.",Technology,Scientific & Technical Instruments,United States,USD,69.83,0.9288,B,,"fPEG,Compress,Rev>Px",158.7045,47.888,123.2287,39.0112,69.7507,1.0011,0.2218,0.5255,0.9113,0.1208,0.0769,116.6636,46.3183,13.6612,0.006,-0.0105,0.0194,0.1159,0.1187,,,0.0233,0.1018,0.0586,회복,0,2.1553,9.3113,9.2732,7.5128,12.1111,-0.8924,-0.9691,0.1734,-0.6121,26.0,1.0,3.0,0.1844,0.0,-0.011,-0.4537,1.1693,-1.5464,0.0001,0.007,0,15,4.0,2,0,10,10,0,41.0,제외,False,True,False,,,,
DUK,,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,United States,USD,114.17,89.0186,,FCFy,Rev>Px,17.1169,16.2027,17.0138,15.9202,20.6279,5.5347,2.3588,2.4523,0.0661,0.0465,0.0459,20.4013,20.4013,21.6139,0.0705,-0.048,0.0514,0.0756,0.0826,,,0.2662,0.2431,0.2662,중반,0,4.9626,42.4761,61.2789,37.7984,10.1432,-0.6689,-0.9565,0.0888,0.7316,26.0,5.0,21.0,0.0265,-0.0001,0.0004,-0.1108,-0.0719,5.5294,0.0026,0.0,0,8,13.0,4,0,7,6,3,41.0,제외,False,False,False,,,순부채/EBITDA>3x,
AMPY,528.0,Amplify Energy Corp.,Energy,Oil & Gas E&P,United States,USD,4.23,0.1754,A,"FCFy,EV/EBIT",,,,,,15.2792,0.2768,,,,-0.3566,0.0575,64.2348,6.127,6.0955,0.0642,-0.4282,0.0044,0.1017,0.1026,,,0.0115,0.2495,0.1204,저점,1,0.3611,3.8097,3.4165,2.8493,5.0033,-0.3264,-0.9146,1.1828,-0.756,2.0,3.0,1.0,,-0.5326,-0.5326,0.0736,-0.3031,-0.5186,0.0567,0.0362,0,12,4.0,0,7,10,8,0,41.0,제외,True,False,False,,,희석/SBC 과다,
EIX,530.0,Edison International,Utilities,Utilities - Regulated Electric,United States,USD,53.51,20.5914,A,"FCFy,vsPeer",Rev>Px,7.463,8.3617,8.7416,8.2286,12.5758,4.255,1.3414,,-0.0036,-0.0115,0.0336,14.2547,16.5609,23.5379,0.1117,-0.0189,0.0578,0.075,0.0845,,,0.2308,0.1388,0.1986,중반,0,0.0,19.8305,37.9239,19.3962,-7.5863,-0.6375,-1.0,-0.1418,1.3911,26.0,5.0,14.0,0.0305,-0.0007,-0.0014,-0.2929,-0.0273,5.6093,0.0026,0.0,0,12,8.0,5,0,7,6,3,41.0,제외,False,False,False,,,순부채/EBITDA>3x,
