ticker,rank,name,sector,ind,country,cur,P,mcap_usd,tracks,trackA_hits,trackB_hits,pe_ttm,pe_ntm,pe1,pe2,pe_norm,eps_norm,fpeg,peg2y,e_norm,rg1,rg2,ev_ebit_ttm,ev_ebit_norm,ev_ebit_hist_med,fcfy_norm,fcfy_ttm_sbc,roic,wacc,ke,rote_n,ptbv,om_ttm,om_avg,m_norm,cyc2,crit,v_bear,v_base,v_bull,v_pw,epv,mos,bear_dd,epv_ratio,growth_share,n_implied,dur_ev,n2,disp,rv1m_f2,rv3m_f2,r3m,r12m,nd_ebitda,sh_g,sbc_rev,A,B,C,D,E,F,G,H,total,grade,lens1,lens2,both,factor,excl,risk,dflag
AFYA,,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,USD,13.58,1.2015,AB,"FCFy,EV/EBIT,vsHist,vsPeer","fPEG,Rev>Px",7.4739,6.9258,7.4471,6.75,9.3848,1.447,0.6706,2.2693,0.0305,0.0767,0.0735,6.6711,6.6711,11.1056,0.1476,0.1992,0.1515,0.1004,0.1226,,,0.326,0.286,0.326,중반,0,17.7127,27.1107,32.6586,26.1482,18.4775,0.9255,0.3043,1.3606,0.2934,0.0,6.0,5.0,0.2145,0.024,0.0182,-0.0868,-0.1239,1.303,-0.0818,0.0058,20,15,13.0,13,10,7,10,3,91.0,S,True,False,False,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
PRG,1.0,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,United States,USD,32.27,1.2854,AB,"FCFy,EV/EBIT,vsPeer","fPEG,Rev>Px",7.9287,6.0027,6.5647,5.8174,4.7788,6.7527,0.4673,0.2334,0.1285,0.2686,0.0761,5.4093,5.0979,3.928,0.2014,0.2238,0.1801,0.0967,0.1292,,,0.1494,0.1664,0.1585,중반,0,54.6314,99.141,116.2472,92.2901,59.6058,1.8599,0.6929,1.8471,0.3541,0.0,2.0,7.0,0.1154,-0.016,0.0403,-0.3002,-0.0338,0.4008,0.0043,0.012,20,15,13.0,11,10,7,9,5,90.0,S,True,True,True,소비자 신용,,매출채권·재고 급증,
NUTX,,Nutex Health Inc.,Healthcare,Medical Care Facilities,United States,USD,201.86,1.3823,A,"FCFy,EV/EBIT,vsPeer",,8.239,7.2479,7.2627,7.2424,5.3503,37.7287,25.8267,0.1149,0.0028,-0.0037,0.1057,4.185,4.185,4.0711,0.186,0.1914,0.5093,0.1194,0.137,,,0.4302,0.0867,0.4302,중반,2,309.3418,445.535,538.678,434.7725,313.3112,1.1538,0.5325,1.5521,0.2794,0.0,7.0,5.0,0.2102,0.2102,0.225,0.2131,0.9688,0.3694,0.1017,0.0113,20,15,15.0,13,10,7,7,3,90.0,S,True,False,False,,"회계·지배구조: 매출의 약 63%가 No Surprises Act IDR 중재 기반, 비용 추정 변경으로 이익 증가 — 이익 지속성·규제 리스크",희석/SBC 과다;매출채권·재고 급증,
HRMY,,"Harmony Biosciences Holdings, I",Healthcare,Biotechnology,United States,USD,40.48,2.3574,AB,"FCFy,EV/EBIT,vsPeer","fPEG,CAGR+PE,Compress",10.2853,6.4365,7.7523,6.0541,12.9451,3.1271,0.2295,0.1774,0.3628,0.1874,0.1258,7.9929,7.1936,9.0341,0.0754,0.1332,0.3564,0.0911,0.0938,,,0.2403,0.2905,0.267,회복,0,44.0527,101.9666,148.5905,99.1441,45.043,1.4492,0.0883,1.1127,0.5457,0.0,5.0,2.0,0.0878,0.1108,0.1682,0.1412,0.4715,-2.0073,0.0056,0.0426,20,15,6.5,14,10,10,10,3,88.5,S,True,True,True,,"가치함정: Wakix 단일 제품, 2030년 전후 제네릭 진입 예정 — 영속 가정 DCF 부적합",,
KYIV,,Kyivstar Group Ltd.,Communication Services,Telecom Services,United Arab Emirates,USD,13.02,3.0061,AB,"FCFy,EV/EBIT","fPEG,Rev>Px",0.2157,0.1827,0.2085,0.1746,9.7731,1.3322,0.0094,0.014,0.1307,0.1483,0.0739,6.459,6.3237,7.0262,0.1062,0.0908,0.2474,0.0928,0.1006,,,0.3695,0.3926,0.3774,중반,1,16.4491,32.8382,42.3133,31.1097,16.7024,1.3894,0.2634,1.2828,0.4631,0.0,3.0,4.0,0.1317,-0.0068,0.0601,-0.1173,0.0923,0.0714,0.0001,0.0,20,15,6.5,15,10,7,10,3,86.5,S,True,True,True,,데이터 이상: 컨센서스 단위 이상(P/E<2),,컨센서스 단위 이상(P/E<2)
NMIH,3.0,NMI Holdings Inc,Financial Services,Insurance - Specialty,United States,USD,42.19,3.1734,A,P/TBV,,8.3215,7.7064,7.99,7.606,7.8458,5.3774,1.5262,1.2469,0.0618,0.0683,0.047,5.5385,5.4054,5.4153,0.1258,0.1326,0.1626,0.079,0.1,0.1626,1.1747,0.7324,0.7726,,중반,0,46.7248,65.9026,76.3882,63.7295,58.4061,0.5105,0.1075,1.3844,0.0835,,,6.0,0.1082,0.0129,0.0245,0.0387,0.0746,-0.3829,-0.0337,0.0283,20,15,13.0,9,9,7,10,3,86.0,S,True,False,False,보험 사이클,,,
BZ,,KANZHUN LIMITED - American Depo,Communication Services,Internet Content & Information,China,USD,14.41,6.669,A,"EV/EBIT,vsHist,NetCash",fPEG,11.8535,10.0788,11.2426,9.7048,18.6179,0.774,0.6361,0.8041,0.1253,0.1239,0.1253,8.4042,8.4042,24.6869,0.0527,0.0804,8.9226,0.0974,0.0976,,,0.3284,0.0761,0.3284,중반,2,15.4508,24.0352,31.0504,23.6429,14.6193,0.6407,0.0722,1.0145,0.3817,0.0,6.0,18.0,0.1949,0.017,0.0092,0.0843,-0.3735,-5.6405,0.0206,0.1047,20,12,13.0,14,10,7,7,3,86.0,S,True,True,True,,데이터 이상: 매출·시총 단위 불일치,희석/SBC 과다;매출채권·재고 급증,매출·시총 단위 불일치
REPX,2.0,"Riley Exploration Permian, Inc.",Energy,Oil & Gas E&P,United States,USD,41.07,0.8911,AB,"FCFy,EV/EBIT,vsPeer","fPEG,CAGR+PE,Compress",9.2292,5.3569,6.4272,5.0442,5.6747,7.2373,0.1954,0.1573,0.3407,0.5225,0.0687,6.0238,4.9518,5.0058,0.1802,0.0468,0.1648,0.0918,0.1046,,,0.3943,0.5477,0.4796,중반,1,59.2398,106.6069,115.9807,97.1086,77.8089,1.3645,0.4424,1.8945,0.1987,0.0,4.0,5.0,0.1339,-0.011,0.0543,0.2172,0.4182,0.9092,0.0046,0.0233,20,15,15.0,7,10,7,9,3,86.0,S,True,True,True,유가,,매출채권·재고 급증,
EXEL,6.0,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,56.73,14.0567,B,vsPeer,"fPEG,CAGR+PE",16.2086,13.9156,15.8383,13.3141,17.0514,3.327,0.734,0.7898,0.1762,0.1002,0.136,13.4908,13.4908,12.6396,0.0561,0.0744,0.7044,0.0823,0.0826,,,0.4072,0.1789,0.4072,중반,1,47.0062,80.8201,109.7819,79.607,43.1544,0.4033,-0.1714,0.7607,0.4579,0.0,7.0,11.0,0.4318,0.0251,0.0525,0.0358,0.4531,-0.6596,-0.0869,0.0462,16,12,11.0,14,10,7,10,5,85.0,S,True,True,True,,,,
INVA,,"Innoviva, Inc.",Healthcare,Biotechnology,United States,USD,20.24,1.4622,A,"FCFy,EV/EBIT,vsPeer",Rev>Px,10.7541,8.978,9.06,8.9478,11.2267,1.8029,7.1631,,-0.1721,0.0972,0.0858,7.0912,6.5818,7.3828,0.0881,0.1148,0.1461,0.0867,0.0926,,,0.3695,0.4856,0.3981,회복,0,25.8743,38.6742,45.8208,37.2609,27.4863,0.841,0.2784,1.358,0.2623,0.0,5.0,5.0,0.4023,-0.0292,-0.0111,-0.1413,0.0732,-1.6383,-0.1306,0.0277,20,15,8.0,10,10,10,9,3,85.0,S,True,False,False,,가치함정: GSK 호흡기 로열티 만료 임박 — 로열티 감소 구조,매출채권·재고 급증,
PYPL,4.0,"PayPal Holdings, Inc.",Financial Services,Credit Services,United States,USD,52.51,44.9203,A,"FCFy,EV/EBIT,vsHist,vsPeer",,9.9263,9.2475,9.7403,9.0766,9.2786,5.6593,1.2646,2.1119,0.0438,0.0476,0.042,7.4919,7.4919,11.2809,0.1016,0.1243,0.2379,0.0933,0.1047,,,0.1841,0.1648,0.1841,중반,0,60.1946,83.6286,88.4874,78.9848,62.9593,0.5042,0.1463,1.199,0.2029,0.0,6.0,43.0,0.1327,-0.0,0.0059,0.1856,-0.2198,0.2959,-0.0972,0.0293,20,12,9.0,12,10,7,10,5,85.0,S,True,False,False,결제,,,
TAL,5.0,TAL Education Group,Consumer Defensive,Education & Training Services,China,USD,11.98,6.6453,A,"EV/EBIT,NetCash",,7.0888,9.6538,8.9875,10.2328,21.4958,0.5573,,1.1038,-0.1217,0.2417,0.1805,10.4696,10.4696,,0.0392,0.0896,0.1919,0.0949,0.0976,,,0.125,-0.0456,0.125,중반,2,10.5778,19.3042,27.3725,19.1397,10.3218,0.5976,-0.117,0.8616,0.4607,0.0,7.0,16.0,0.7268,-0.0011,0.1281,0.2637,0.0696,-5.1912,-0.0806,0.0135,20,12,11.0,12,10,7,10,3,85.0,S,True,False,False,중국,,,
UIS,,Unisys Corporation New,Technology,Information Technology Services,United States,USD,2.37,0.1728,AB,"FCFy,EV/EBIT","fPEG,Compress,Rev>Px",4.2321,2.5099,3.6801,2.2443,,-0.0182,0.0392,0.3827,0.0656,-0.0148,0.0084,8.6759,8.4206,6.0823,0.2734,0.1076,0.8241,0.075,0.1428,,,0.036,0.0387,0.0371,중반,1,3.3608,19.9268,22.6188,16.4583,4.4597,5.9444,0.4181,1.8818,0.729,0.0,4.0,5.0,0.4924,-0.1185,0.1087,-0.3398,-0.4045,2.6301,0.0232,0.0065,20,15,11.0,11,10,7,8,3,85.0,S,True,False,False,,데이터 이상: 자본잠식,,자본잠식
ARLP,,"Alliance Resource Partners, L.P",Energy,Thermal Coal,United States,USD,25.55,3.2872,A,"FCFy,EV/EBIT",fPEG,10.0694,9.1645,10.3862,8.7801,11.5311,2.2158,0.501,2.0105,0.0456,0.0185,0.0375,10.5346,9.868,6.6427,0.0943,0.1015,0.6336,0.0786,0.0826,,,0.1644,0.2362,0.1756,저점,0,26.0657,44.6122,53.5719,42.2155,28.3676,0.6523,0.0202,1.1103,0.328,0.0,5.0,3.0,0.0825,0.0163,0.0582,0.0437,0.0412,0.7301,0.0018,0.0041,20,12,8.5,11,10,10,10,3,84.5,A+,True,False,False,,데이터 이상: 자본잠식,,자본잠식
RERE,,ATRenew Inc.,Consumer Cyclical,Internet Retail,China,USD,3.98,0.9743,AB,"FCFy,EV/EBIT,vsHist,vsPeer","fPEG,CAGR+PE,Compress",11.9136,7.1308,9.4818,6.5283,11.8493,0.3359,0.1576,0.1338,0.5328,0.274,0.2061,8.0736,8.0736,48.3227,0.0668,-0.0935,0.1975,0.1037,0.1076,,,0.0271,-0.031,0.0271,중반,1,3.8857,7.4391,11.0696,7.4584,4.0287,0.874,-0.0237,1.0122,0.4598,0.0,6.0,6.0,0.5166,-0.0057,0.0048,0.0311,-0.1568,-1.61,-0.0062,0.0022,20,15,11.0,9,10,7,9,3,84.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,매출채권·재고 급증,매출·시총 단위 불일치
EDU,7.0,New Oriental Education & Techno,Consumer Defensive,Education & Training Services,China,USD,56.08,8.6941,AB,"EV/EBIT,vsHist,NetCash","fPEG,CAGR+PE",15.7528,12.2947,12.9203,11.1239,18.0211,3.1119,0.7613,0.6528,0.1883,0.1658,0.1233,6.8868,6.8868,11.784,0.049,0.0796,,0.0933,0.0976,,,0.1136,0.0814,0.1136,중반,1,62.1291,86.5281,106.863,85.5121,60.8491,0.5248,0.1079,1.085,0.2884,0.0,6.0,14.0,0.2557,0.0,0.0279,0.2102,0.0921,-5.1876,-0.0123,0.0156,20,12,13.0,9,10,7,10,3,84.0,A+,True,True,True,중국,,,
LNC,,Lincoln National Corporation,Financial Services,Insurance - Life,United States,USD,41.08,7.8647,A,"vsPeer,P/TBV,NetCash",fPEG,5.0405,4.8382,5.1757,4.7236,4.043,10.1609,0.5055,1.7301,0.028,0.0391,0.0386,-7.8159,-9.4543,-18.4396,0.2575,-0.1689,0.2,0.0793,0.1,0.2,0.8531,0.1623,0.0929,,중반,0,77.0468,104.1361,149.6333,108.7381,96.3085,1.647,0.8755,2.3444,0.1143,,,13.0,0.0823,0.0084,0.0449,0.1187,0.0101,-10.3055,0.0876,0.0,20,15,11.0,9,10,7,8,3,83.0,A+,True,False,False,,"데이터·모델 부적합: 생명보험 — 준비금·AOCI로 자본 왜곡, 잔여이익 모델 신뢰 낮음",희석/SBC 과다,
YMM,,Full Truck Alliance Co. Ltd.,Technology,Software - Application,China,USD,8.34,8.7228,A,"EV/EBIT,vsHist,vsPeer,NetCash",fPEG,12.5799,9.9937,11.2376,9.5982,16.4672,0.5065,0.5851,0.742,0.1347,-0.0093,0.0839,8.1514,8.1514,22.1946,0.0525,0.0866,0.2105,0.0976,0.0976,,,0.3361,0.1048,0.3361,중반,1,8.276,12.6736,14.5564,12.0449,8.5418,0.4442,-0.0077,1.0242,0.2908,0.0,6.0,12.0,0.2553,0.0037,0.0095,0.0803,-0.3609,-5.3523,-0.0055,0.022,16,12,13.0,13,10,7,9,3,83.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,매출채권·재고 급증,매출·시총 단위 불일치
ATAT,,Atour Lifestyle Holdings Limite,Consumer Cyclical,Lodging,China,USD,32.27,4.4593,AB,"FCFy,EV/EBIT,vsHist","fPEG,CAGR+PE",17.5798,12.1028,13.996,11.5227,14.3285,2.2522,0.5639,0.5393,0.2244,0.3106,0.1928,9.1368,9.1368,14.8996,0.066,0.0725,,0.0983,0.1004,,,0.2382,0.1649,0.2382,중반,0,32.3228,57.9875,86.7625,58.7651,27.7437,0.821,0.0016,0.8597,0.5279,0.0,5.0,14.0,0.2846,0.0307,0.0336,0.0044,-0.1454,-1.5559,-0.0222,0.0112,20,12,11.0,10,10,7,10,3,83.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
BHC,,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,USD,5.71,2.1355,A,"FCFy,EV/EBIT,vsHist,vsPeer",,1.3265,1.3383,1.2787,1.3619,2.1771,2.6228,,0.2305,0.0581,0.06,0.0003,7.6384,7.6384,13.9354,0.9084,0.5432,0.1366,0.075,0.0826,,,0.2544,0.1822,0.2544,중반,1,28.1102,64.3117,67.8224,56.139,32.9884,8.8317,3.923,5.7773,0.4124,0.0,5.0,6.0,0.3244,-0.0058,0.033,0.1996,-0.1188,4.7755,0.0134,0.0215,20,15,11.0,11,10,7,6,3,83.0,A+,True,False,False,,데이터 이상: 자본잠식;컨센서스 단위 이상(P/E<2),순부채/EBITDA>3x,자본잠식;컨센서스 단위 이상(P/E<2)
YALA,8.0,Yalla Group Limited,Technology,Software - Application,United Arab Emirates,USD,5.46,0.9558,AB,"FCFy,EV/EBIT,vsHist,vsPeer,NetCash","fPEG,Rev>Px",,5.9568,6.825,5.6875,10.8541,0.503,0.2978,1.5439,0.0386,0.0,0.1203,1.3306,1.3306,2.9864,0.0904,0.1307,2.3217,0.0924,0.0926,,,0.3091,0.3078,0.3091,중반,0,10.348,16.3685,21.5064,16.1479,10.1149,1.9575,0.8952,1.8525,0.3736,0.0,5.0,1.0,0.0,0.0971,0.0971,-0.0073,-0.273,-7.7599,-0.0316,0.0308,20,15,6.5,11,10,7,10,3,82.5,A+,True,False,False,신흥국,,,
WU,,Western Union Company (The),Financial Services,Credit Services,United States,USD,6.09,1.8993,A,"FCFy,EV/EBIT,vsHist,vsPeer",fPEG,4.1149,4.1925,4.7095,4.0279,4.3345,1.405,0.2477,,-0.0705,0.0191,0.0557,2.8078,2.5818,5.1721,0.2805,0.2233,0.626,0.075,0.0926,,,0.1591,0.1859,0.173,중반,0,22.3475,36.8281,41.3319,34.3339,24.1377,4.6378,2.6695,3.9635,0.297,0.0,3.0,18.0,0.2406,-0.0098,-0.2119,-0.1923,-0.234,-0.1187,-0.0485,0.0,20,15,6.0,14,10,7,10,0,82.0,A+,True,False,False,,가치함정: 컨센서스 급락,,
AXS,10.0,Axis Capital Holdings Limited,Financial Services,Insurance - Specialty,Bermuda,USD,95.31,6.9544,A,"P/TBV,NetCash",fPEG,7.4694,7.247,7.7597,7.0731,6.3815,14.9353,0.7465,3.4095,0.0213,0.0331,0.0525,1.6937,1.6937,1.3066,0.1564,0.3454,0.1749,0.0776,0.1,0.1749,1.2146,0.203,0.1067,,중반,0,109.7762,144.2069,177.381,143.8928,137.2203,0.5097,0.1518,1.4397,0.0464,,,12.0,0.1083,-0.0106,-0.0716,-0.1233,-0.0069,-3.1774,-0.0646,0.0078,20,15,6.0,12,9,7,10,3,82.0,A+,True,False,False,보험 사이클,,,
STNE,,StoneCo Ltd.,Technology,Software - Infrastructure,Cayman Islands,USD,9.49,2.3287,A,"FCFy,EV/EBIT,vsPeer",fPEG,4.9368,4.3535,4.8745,4.187,3.3564,2.8274,0.2651,0.4031,0.108,0.0542,0.0509,2.6876,2.6305,2.6728,0.4592,0.2747,0.3783,0.0811,0.1147,,,0.4981,0.4893,0.509,중반,1,51.8179,81.5782,90.7717,76.4365,53.1569,7.0544,4.4603,5.6014,0.3046,0.0,6.0,10.0,0.3168,-0.0357,-0.0702,-0.1365,-0.4931,0.8235,-0.1106,0.0205,20,15,8.0,12,10,7,10,0,82.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
ADMA,,ADMA Biologics Inc,Healthcare,Biotechnology,United States,USD,9.7,2.1727,AB,"FCFy,EV/EBIT,vsHist,vsPeer","fPEG,CAGR+PE",13.5984,10.7354,12.1757,10.2827,13.012,0.7455,0.5832,0.5407,0.1985,0.0493,0.1759,10.3485,10.3485,29.5665,0.0735,0.043,0.3657,0.0862,0.0893,,,0.4226,0.0514,0.4226,중반,2,9.2947,16.8617,24.6163,16.9086,8.7142,0.7432,-0.0418,0.8984,0.4846,0.0,6.0,3.0,0.2332,-0.0399,-0.0543,0.1086,-0.3786,0.302,-0.0735,0.0447,20,12,8.0,13,10,7,9,3,82.0,A+,True,True,True,,"회계·지배구조: 2026-03 공매도 보고서(채널 스터핑·특수관계 유통 의혹), 증권집단소송, 장기 가이던스 철회",매출채권·재고 급증,
ZTO,,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,China,USD,19.61,15.6555,A,"FCFy,EV/EBIT,vsPeer",fPEG,10.0403,8.9977,9.7377,8.7502,11.1298,1.7619,0.7973,0.6305,0.1427,0.1753,0.0817,8.4289,8.2522,10.2934,0.0759,0.0545,0.173,0.0902,0.0976,,,0.2097,0.2484,0.2142,중반,0,20.8313,30.8198,38.0528,30.1309,21.618,0.5365,0.0623,1.1024,0.2825,0.0,4.0,13.0,0.1602,-0.0235,-0.021,-0.105,0.0155,-0.6285,-0.0405,0.0042,20,12,8.0,12,10,7,10,3,82.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
VIPS,,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,China,USD,12.37,5.8819,A,"FCFy,EV/EBIT,vsHist,vsPeer,NetCash",fPEG,4.7884,5.1981,6.2121,4.9005,6.4302,1.9237,0.1942,,-0.004,-0.0241,0.0098,2.2666,2.2666,3.7564,0.1442,0.0926,0.2702,0.0894,0.1001,,,0.0763,0.0734,0.0763,중반,0,27.4721,33.6385,35.4993,32.5621,29.1194,1.6323,1.2209,2.354,0.1057,0.0,4.0,16.0,0.306,-0.0699,-0.0791,-0.0586,-0.3288,-2.166,-0.0462,0.0165,20,15,8.0,9,10,7,10,3,82.0,A+,True,False,False,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
PXED,9.0,"Phoenix Education Partners, Inc",Consumer Defensive,Education & Training Services,United States,USD,26.15,1.0178,A,"FCFy,EV/EBIT,vsPeer",Rev>Px,5.9079,5.6742,5.8557,5.6742,7.4415,3.5141,1.7737,7.4541,0.0076,0.0156,0.0324,4.923,4.64,,0.1306,0.0814,0.8131,0.1069,0.1106,,,0.171,0.1825,0.1814,중반,0,34.6146,46.1645,48.3318,43.8188,37.3778,0.6757,0.3237,1.4294,0.147,0.0,5.0,7.0,0.1259,-0.0517,-0.0517,-0.2102,,-0.8414,0.0934,0.0477,20,15,10.0,9,10,7,8,3,82.0,A+,True,False,False,교육(규제),,희석/SBC 과다,
BBWI,,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,United States,USD,17.02,3.432,A,"FCFy,EV/EBIT,vsHist,vsPeer",Rev>Px,5.0958,6.1648,6.2737,6.1062,4.7713,3.5671,2.2483,,-0.0682,-0.0259,0.0165,6.116,6.016,9.8434,0.2429,0.2937,0.3128,0.075,0.1073,,,0.1674,0.1761,0.1702,중반,0,36.9317,60.7599,60.906,54.8393,41.2635,2.2221,1.1699,2.4244,0.2476,0.0,3.0,19.0,0.2727,-0.0263,-0.0277,-0.2555,-0.3616,2.7036,-0.0427,0.0032,20,15,8.0,11,10,7,8,3,82.0,A+,True,False,False,,데이터 이상: 자본잠식,,자본잠식
APTV,,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,USD,45.17,9.3788,AB,"FCFy,EV/EBIT,vsHist,vsPeer","fPEG,Rev>Px",6.1289,7.143,7.8883,6.9004,7.9305,5.6958,0.4989,,-0.0851,-0.3774,0.0438,7.8366,7.8366,12.3013,0.11,0.0596,0.1054,0.0857,0.106,,,0.0975,0.0895,0.0975,중반,0,41.0343,75.4326,85.5983,69.3744,57.2793,0.5359,-0.0916,1.2681,0.1743,0.0,5.0,18.0,0.2291,0.0053,-0.0404,-0.2512,-0.4761,1.7482,-0.0276,0.0067,20,15,8.0,8,10,7,10,3,81.0,A+,True,False,False,,데이터·모델 부적합: 2026-04 EDS 분사(Versigent)로 과거 재무 비교 불가,,
NTES,,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,China,USD,117.02,74.9221,A,"FCFy,EV/EBIT,NetCash",fPEG,14.2399,11.336,12.7249,10.8934,14.4027,8.1249,0.6742,0.985,0.1151,0.0717,0.076,8.2795,8.2795,10.9912,0.0683,0.0932,8.1167,0.1036,0.1048,,,0.3523,0.2507,0.3523,중반,1,119.4731,162.8556,191.7481,159.2331,116.3193,0.3607,0.021,0.994,0.2695,0.0,5.0,24.0,0.2162,0.0035,0.0022,-0.0541,-0.2073,-3.7573,0.0022,0.027,16,12,11.0,15,10,7,10,0,81.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
MOMO,,Hello Group Inc.,Communication Services,Internet Content & Information,China,USD,4.93,0.7718,A,"FCFy,vsPeer,NetCash",fPEG,4.1994,4.8695,5.1592,4.7699,5.5662,0.8857,0.5965,0.5588,0.0871,-0.0465,0.0309,-2.7045,-2.5756,1.0723,0.1693,0.1699,0.4011,0.1068,0.1076,,,0.1188,0.1551,0.1247,중반,0,15.4549,17.8521,18.5175,17.4192,16.4294,2.5333,2.1349,3.3325,0.0568,0.0,3.0,5.0,0.0788,-0.0418,-0.0418,-0.1196,-0.3311,-6.5753,-0.0597,0.0144,20,12,8.0,11,10,7,10,3,81.0,A+,True,True,True,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
YELP,12.0,Yelp Inc.,Communication Services,Internet Content & Information,United States,USD,17.73,0.9621,AB,"FCFy,EV/EBIT,vsHist,vsPeer","fPEG,Rev>Px",8.4833,7.7451,10.0305,7.1397,7.4236,2.3883,0.1913,1.4639,0.0529,0.001,0.0313,5.7365,5.7365,16.4359,0.1137,0.1865,0.1924,0.0877,0.0926,,,0.1173,0.0717,0.1173,중반,0,24.8625,33.3221,34.2638,31.4426,26.6917,0.7734,0.4023,1.5055,0.1511,0.0,6.0,8.0,0.2255,-0.0157,-0.0448,-0.2613,-0.4368,0.125,-0.1516,0.0801,20,12,8.0,11,10,7,10,3,81.0,A+,True,False,False,AI 대체 우려,,,
GAP,15.0,"Gap, Inc. (The)",Consumer Cyclical,Apparel Retail,United States,USD,21.28,7.475,A,"FCFy,EV/EBIT,vsHist",,6.3522,7.1558,6.1326,7.8834,7.637,2.7864,,0.5691,-0.2221,0.0116,0.0286,6.3599,7.6607,11.1547,0.1114,0.106,0.1758,0.094,0.128,,,0.1099,0.0356,0.0912,중반,0,20.2096,28.6056,36.7134,28.5336,22.5392,0.3409,-0.0503,1.0592,0.2101,0.0,3.0,7.0,0.1353,0.0253,0.0184,0.0529,-0.0323,1.4839,-0.0449,0.0108,16,12,13.0,10,10,7,10,3,81.0,A+,True,False,False,소비,,,
6669.TW,11.0,WIWYNN CORPORATION,Technology,Computer Hardware,Taiwan,TWD,2090.0,36.5257,B,,"fPEG,CAGR+PE,Compress",20.6064,12.8108,17.3569,11.6729,21.9408,95.2563,0.2631,0.3256,0.3934,0.4101,0.7588,16.8498,16.8498,14.8252,0.0435,-0.056,0.2621,0.0947,0.1009,,,0.0662,0.0681,0.0662,중반,1,1322.2426,4553.1825,12604.9433,5758.3877,938.7811,1.7552,-0.3673,0.4492,0.837,2.0,6.0,17.0,0.5203,0.0028,0.154,0.474,1.0684,1.0524,0.0729,0.0,20,15,13.0,6,10,7,7,3,81.0,A+,True,True,True,AI capex,,희석/SBC 과다;매출채권·재고 급증,
BFH,13.0,"Bread Financial Holdings, Inc.",Financial Services,Credit Services,United States,USD,99.19,4.037,AB,P/TBV,"fPEG,Rev>Px",7.1773,7.4627,8.0165,7.2756,19.2739,5.1463,0.7328,1.2682,0.0588,0.0428,0.0362,3.4972,3.4972,,0.1972,0.5286,0.1967,0.0803,0.1,0.1967,1.5154,0.2638,0.2638,,판단 불가,0,102.961,149.7781,190.0418,148.1398,128.7013,0.4935,0.038,1.2975,0.1312,,,13.0,0.1577,0.0197,0.0953,-0.0666,0.6645,-0.3434,-0.1794,0.0149,16,15,13.0,11,9,4,10,3,81.0,A+,True,False,False,소비자 신용,,,
THC,,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,United States,USD,256.44,20.6483,A,"FCFy,EV/EBIT,vsPeer",,13.2596,12.1368,12.0814,12.1576,6.7886,37.7749,,1.0016,0.1212,0.0525,0.0041,7.1811,7.1811,7.593,0.158,0.14,0.2373,0.0846,0.103,,,0.1952,0.1286,0.1952,중반,0,383.0491,561.528,553.1987,514.8259,410.6654,1.0076,0.4937,1.6014,0.2023,0.0,4.0,21.0,0.2046,0.0119,0.1903,0.3568,0.2695,2.0977,-0.0853,0.0058,20,6,13.0,14,10,7,8,3,81.0,A+,True,False,False,,데이터 이상: 비지배지분 과다(Up-C 구조 등),,비지배지분 과다(Up-C 구조 등)
EQNR,,Equinor ASA,Energy,Oil & Gas Integrated,Norway,USD,42.9,101.6964,A,"FCFy,EV/EBIT,vsPeer",,,9.5014,7.6591,10.4355,3.9955,10.7371,,0.3275,-0.2661,0.1974,-0.0917,3.4687,3.2799,2.1163,0.2429,0.0942,0.4796,0.0751,0.0826,,,0.28,0.3825,0.2961,저점,1,123.8246,153.2732,118.4833,137.2135,143.7975,2.1985,1.8864,3.3519,-0.048,0.0,2.0,5.0,0.3235,0.1222,0.0029,0.3825,0.6797,0.1962,-0.0723,0.0,20,15,7.0,9,10,10,10,0,81.0,A+,True,False,False,,가치함정: 만성 저멀티플+무성장,,
